Provincia,Fecha,Descripción,Ámbito
ALAVA,01/01/2024,Año nuevo,national
ALAVA,06/01/2024,Epifanía del Señor,national
ALAVA,28/03/2024,Jueves Santo,regional
ALAVA,29/03/2024,Viernes Santo,national
ALAVA,01/04/2024,Lunes de Pascua,regional
ALAVA,28/04/2024,San Prudencio(se traslada al lunes),local
ALAVA,01/05/2024,Día del Trabajo,national
ALAVA,25/07/2024,Santiago Apostol,regional
ALAVA,05/08/2024,Virgen Blanca,local
ALAVA,15/08/2024,Asunción de la Virgen,national
ALAVA,12/10/2024,Fiesta Nacional Española,national
ALAVA,01/11/2024,Día de Todos los Santos,national
ALAVA,06/12/2024,Día de la Constitución Española,national
ALAVA,25/12/2024,Navidad,national
ALBACETE,01/01/2024,Año nuevo,national
ALBACETE,06/01/2024,Epifanía del Señor,national
ALBACETE,28/03/2024,Jueves Santo,regional
ALBACETE,29/03/2024,Viernes Santo,national
ALBACETE,01/05/2024,Día del Trabajo,national
ALBACETE,30/05/2024,Corpus Christi,regional
ALBACETE,31/05/2024,Día de la Región de Castilla la Mancha,regional
ALBACETE,24/06/2024,San Juan,local
ALBACETE,15/08/2024,Asunción de la Virgen,national
ALBACETE,08/09/2024,Virgen de los Llanos(se traslada al lunes),local
ALBACETE,12/10/2024,Fiesta Nacional Española,national
ALBACETE,01/11/2024,Día de Todos los Santos,national
ALBACETE,06/12/2024,Día de la Constitución Española,national
ALBACETE,25/12/2024,Navidad,national
ALICANTE,01/01/2024,Año nuevo,national
ALICANTE,06/01/2024,Epifanía del Señor,national
ALICANTE,19/03/2024,San José,regional
ALICANTE,29/03/2024,Viernes Santo,national
ALICANTE,01/04/2024,Lunes de Pascua,regional
ALICANTE,11/04/2024,Santa Faz,local
ALICANTE,01/05/2024,Día del Trabajo,national
ALICANTE,24/06/2024,San Juan,local
ALICANTE,15/08/2024,Asunción de la Virgen,national
ALICANTE,09/10/2024,Día de la Comunidad Valenciana,regional
ALICANTE,12/10/2024,Fiesta Nacional Española,national
ALICANTE,01/11/2024,Día de Todos los Santos,national
ALICANTE,06/12/2024,Día de la Constitución Española,national
ALICANTE,25/12/2024,Navidad,national
ALMERIA,01/01/2024,Año nuevo,national
ALMERIA,06/01/2024,Epifanía del Señor,national
ALMERIA,28/02/2024,Día de Andalucía,regional
ALMERIA,28/03/2024,Jueves Santo,regional
ALMERIA,29/03/2024,Viernes Santo,national
ALMERIA,01/05/2024,Día del Trabajo,national
ALMERIA,24/06/2024,San Juan,local
ALMERIA,15/08/2024,Asunción de la Virgen,national
ALMERIA,24/08/2024,Virgen del Mar,local
ALMERIA,12/10/2024,Fiesta Nacional Española,national
ALMERIA,01/11/2024,Día de Todos los Santos,national
ALMERIA,06/12/2024,Día de la Constitución Española,national
ALMERIA,08/12/2024,Día de la Inmaculada(se traslada al lunes),regional
ALMERIA,25/12/2024,Navidad,national
ASTURIAS,01/01/2024,Año nuevo,national
ASTURIAS,06/01/2024,Epifanía del Señor,national
ASTURIAS,28/03/2024,Jueves Santo,regional
ASTURIAS,29/03/2024,Viernes Santo,national
ASTURIAS,01/05/2024,Día del Trabajo,national
ASTURIAS,15/08/2024,Asunción de la Virgen,national
ASTURIAS,08/09/2024,Día de Asturias(se traslada al lunes),regional
ASTURIAS,21/09/2024,San Mateo,local
ASTURIAS,12/10/2024,Fiesta Nacional Española,national
ASTURIAS,01/11/2024,Día de Todos los Santos,national
ASTURIAS,06/12/2024,Día de la Constitución Española,national
ASTURIAS,25/12/2024,Navidad,national
AVILA,01/01/2024,Año nuevo,national
AVILA,06/01/2024,Epifanía del Señor,national
AVILA,28/03/2024,Jueves Santo,regional
AVILA,29/03/2024,Viernes Santo,national
AVILA,23/04/2024,Día de Castilla León,regional
AVILA,01/05/2024,Día del Trabajo,national
AVILA,02/05/2024,San Segundo,local
AVILA,15/08/2024,Asunción de la Virgen,national
AVILA,12/10/2024,Fiesta Nacional Española,national
AVILA,15/10/2024,Santa Teresa de Jesús,local
AVILA,01/11/2024,Día de Todos los Santos,national
AVILA,06/12/2024,Día de la Constitución Española,national
AVILA,08/12/2024,Día de la Inmaculada(se traslada al lunes),regional
AVILA,25/12/2024,Navidad,national
BADAJOZ,01/01/2024,Año nuevo,national
BADAJOZ,06/01/2024,Epifanía del Señor,national
BADAJOZ,13/02/2024,Martes de Carnaval,regional
BADAJOZ,19/03/2024,San José,local
BADAJOZ,28/03/2024,Jueves Santo,regional
BADAJOZ,29/03/2024,Viernes Santo,national
BADAJOZ,01/05/2024,Día del Trabajo,national
BADAJOZ,24/06/2024,San Juan,local
BADAJOZ,15/08/2024,Asunción de la Virgen,national
BADAJOZ,12/10/2024,Fiesta Nacional Española,national
BADAJOZ,01/11/2024,Día de Todos los Santos,national
BADAJOZ,06/12/2024,Día de la Constitución Española,national
BADAJOZ,08/12/2024,Día de la Inmaculada(se traslada al lunes),regional
BADAJOZ,25/12/2024,Navidad,national
BALEARES,01/01/2024,Año nuevo,national
BALEARES,06/01/2024,Epifanía del Señor,national
BALEARES,20/01/2024,San Sebastián,local
BALEARES,01/03/2024,Día de las Islas Baleares,regional
BALEARES,28/03/2024,Jueves Santo,regional
BALEARES,29/03/2024,Viernes Santo,national
BALEARES,01/04/2024,Lunes de Pascua,regional
BALEARES,01/05/2024,Día del Trabajo,national
BALEARES,24/06/2024,San Juan,local
BALEARES,15/08/2024,Asunción de la Virgen,national
BALEARES,12/10/2024,Fiesta Nacional Española,national
BALEARES,01/11/2024,Día de Todos los Santos,national
BALEARES,06/12/2024,Día de la Constitución Española,national
BALEARES,25/12/2024,Navidad,national
BARCELONA,01/01/2024,Año nuevo,national
BARCELONA,06/01/2024,Epifanía del Señor,national
BARCELONA,29/03/2024,Viernes Santo,national
BARCELONA,01/04/2024,Lunes de Pascua,regional
BARCELONA,01/05/2024,Día del Trabajo,national
BARCELONA,20/05/2024,Lunes de Pascua Granada,local
BARCELONA,24/06/2024,San Juan,regional
BARCELONA,15/08/2024,Asunción de la Virgen,national
BARCELONA,11/09/2024,Diada,regional
BARCELONA,24/09/2024,La Mercè,local
BARCELONA,12/10/2024,Fiesta Nacional Española,national
BARCELONA,01/11/2024,Día de Todos los Santos,national
BARCELONA,06/12/2024,Día de la Constitución Española,national
BARCELONA,25/12/2024,Navidad,national
BARCELONA,26/12/2024,San Esteban,regional
BILBAO,01/01/2024,Año nuevo,national
BILBAO,06/01/2024,Epifanía del Señor,national
BILBAO,28/03/2024,Jueves Santo,regional
BILBAO,29/03/2024,Viernes Santo,national
BILBAO,01/04/2024,Lunes de Pascua,regional
BILBAO,01/05/2024,Día del Trabajo,national
BILBAO,25/07/2024,Santiago Apostol,regional
BILBAO,31/07/2024,San Ignacio de Loyola,local
BILBAO,15/08/2024,Asunción de la Virgen,national
BILBAO,23/08/2024,Viernes de la Semana Grande,local
BILBAO,12/10/2024,Fiesta Nacional Española,national
BILBAO,01/11/2024,Día de Todos los Santos,national
BILBAO,06/12/2024,Día de la Constitución Española,national
BILBAO,25/12/2024,Navidad,national
BURGOS,01/01/2024,Año nuevo,national
BURGOS,06/01/2024,Epifanía del Señor,national
BURGOS,28/03/2024,Jueves Santo,regional
BURGOS,29/03/2024,Viernes Santo,national
BURGOS,23/04/2024,Día de Castilla León,regional
BURGOS,01/05/2024,Día del Trabajo,national
BURGOS,07/06/2024,Curpillos,local
BURGOS,29/06/2024,San Pedro,local
BURGOS,15/08/2024,Asunción de la Virgen,national
BURGOS,12/10/2024,Fiesta Nacional Española,national
BURGOS,01/11/2024,Día de Todos los Santos,national
BURGOS,06/12/2024,Día de la Constitución Española,national
BURGOS,08/12/2024,Día de la Inmaculada(se traslada al lunes),regional
BURGOS,25/12/2024,Navidad,national
CACERES,01/01/2024,Año nuevo,national
CACERES,06/01/2024,Epifanía del Señor,national
CACERES,13/02/2024,Martes de Carnaval,regional
CACERES,28/03/2024,Jueves Santo,regional
CACERES,29/03/2024,Viernes Santo,national
CACERES,23/04/2024,San Jorge,local
CACERES,01/05/2024,Día del Trabajo,national
CACERES,31/05/2024,Fiestas de San Fernando,local
CACERES,15/08/2024,Asunción de la Virgen,national
CACERES,12/10/2024,Fiesta Nacional Española,national
CACERES,01/11/2024,Día de Todos los Santos,national
CACERES,06/12/2024,Día de la Constitución Española,national
CACERES,08/12/2024,Día de la Inmaculada(se traslada al lunes),regional
CACERES,25/12/2024,Navidad,national
CADIZ,01/01/2024,Año nuevo,national
CADIZ,06/01/2024,Epifanía del Señor,national
CADIZ,12/02/2024,Lunes de Carnaval,local
CADIZ,28/02/2024,Día de Andalucía,regional
CADIZ,28/03/2024,Jueves Santo,regional
CADIZ,29/03/2024,Viernes Santo,national
CADIZ,01/05/2024,Día del Trabajo,national
CADIZ,15/08/2024,Asunción de la Virgen,national
CADIZ,07/10/2024,Virgen del Rosario,local
CADIZ,12/10/2024,Fiesta Nacional Española,national
CADIZ,01/11/2024,Día de Todos los Santos,national
CADIZ,06/12/2024,Día de la Constitución Española,national
CADIZ,08/12/2024,Día de la Inmaculada(se traslada al lunes),regional
CADIZ,25/12/2024,Navidad,national
CANTABRIA,01/01/2024,Año nuevo,national
CANTABRIA,06/01/2024,Epifanía del Señor,national
CANTABRIA,28/03/2024,Jueves Santo,regional
CANTABRIA,29/03/2024,Viernes Santo,national
CANTABRIA,01/04/2024,Lunes de Pascua,regional
CANTABRIA,01/05/2024,Día del Trabajo,national
CANTABRIA,25/07/2024,Santiago Apostol,local
CANTABRIA,28/07/2024,Día de las Instituciones(se traslada al lunes),regional
CANTABRIA,15/08/2024,Asunción de la Virgen,national
CANTABRIA,15/09/2024,Día de la Bien Aparecida(se traslada al lunes),regional
CANTABRIA,12/10/2024,Fiesta Nacional Española,national
CANTABRIA,01/11/2024,Día de Todos los Santos,national
CANTABRIA,06/12/2024,Día de la Constitución Española,national
CANTABRIA,25/12/2024,Navidad,national
CASTELLON,01/01/2024,Año nuevo,national
CASTELLON,06/01/2024,Epifanía del Señor,national
CASTELLON,04/03/2024,Fiestas de la Magdalena,local
CASTELLON,19/03/2024,San José,regional
